,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,secteur,site,X lambert,Y lambert,debit_prevu,sature,rho,700 MHz,800 MHz,1800 MHz,2100 MHz,2600 MHz,3500 MHz
0,0,0,0,T70730A,T70730,332710,2132198,87.4017122932582,1,1.3582239672611998,0,4G,4G,4G,0,5G
1,1,1,1,T70730B,T70730,332710,2132198,66.38481411734386,1,1.0316210430045667,0,4G,4G,4G,0,5G
2,2,2,2,T70730C,T70730,332710,2132198,20.274755686126085,0,0.31507001843241783,0,4G,4G,4G,0,5G
3,3,3,3,T78259A,T78259,334998,2134973,49.61721225437208,0,0.2496212318477239,4G,0,4G,4G,4G,5G
4,4,4,4,T78259B,T78259,334998,2134973,50.112108300992574,0,0.25211102430443516,4G,0,4G,4G,4G,5G
5,5,5,5,T78259C,T78259,334998,2134973,68.96132979469824,0,0.3469403320153858,4G,0,4G,4G,4G,5G
6,6,6,6,T70745A,T70745,333740,2138512,69.36143425775809,1,1.077877766243327,0,4G,4G,4G,0,5G
7,7,7,7,T70745B,T70745,333740,2138512,75.08319270919677,1,1.1667939814948993,0,4G,4G,4G,0,5G
8,8,8,8,T70745C,T70745,333740,2138512,13.177141765028637,0,0.20477298780153283,0,4G,4G,4G,0,5G
9,9,9,9,T70747A,T70747,330348,2141263,21.361309609020175,0,0.49793262491888524,0,4G,4G,0,0,5G
10,10,10,10,T70747B,T70747,330348,2141263,26.175207878213133,0,0.6101447057858539,0,4G,4G,0,0,5G
11,11,11,11,T70747C,T70747,330348,2141263,75.72277750487467,1,1.7650997087383373,0,4G,4G,0,0,5G
12,12,12,12,T78264A,T78264,325260,2135700,9.50183256110094,0,0.2214879384872014,0,4G,4G,0,0,0
13,13,13,13,T78264B,T78264,325260,2135700,12.407788389444127,0,0.2892258365837792,0,4G,4G,0,0,0
14,14,14,14,T78264C,T78264,325260,2135700,23.655102963844598,0,0.5514010014882191,0,4G,4G,0,0,0
15,15,15,15,T78270A,T78270,329209,2135671,43.23469084473989,0,0.20291308417299428,4G,4G,4G,4G,4G,5G
16,16,16,16,T78270B,T78270,329209,2135671,32.12252430744827,0,0.1507604275939751,4G,4G,4G,4G,4G,5G
17,17,17,17,T78270C,T78270,329209,2135671,61.77530368159083,0,0.28992961787952704,4G,4G,4G,4G,4G,5G
18,18,18,18,T70738A,T70738,328550,2134560,72.48282003973624,0,0.34018313249043153,4G,4G,4G,4G,4G,5G
19,19,19,19,T70738B,T70738,328550,2134560,29.686871312631354,0,0.13932919375149647,4G,4G,4G,4G,4G,5G
20,20,20,20,T70738C,T70738,328550,2134560,66.28693969566505,0,0.31110404888377086,4G,4G,4G,4G,4G,5G
21,21,21,21,T36870A,T36870,339649,2128802,38.74269536148117,0,0.903093131969258,0,4G,4G,0,0,0
22,22,22,22,T36870B,T36870,339649,2128802,11.225899896606917,0,0.2616759882658955,0,4G,4G,0,0,0
23,23,23,23,T78256A,T78256,327930,2135899,44.84781782452286,0,0.23404559975223288,4G,4G,4G,4G,0,5G
24,24,24,24,T78256B,T78256,327930,2135899,84.11931001531306,0,0.43899024118209506,4G,4G,4G,4G,0,5G
25,25,25,25,T78256C,T78256,327930,2135899,61.88056463783286,0,0.3229337471967063,4G,4G,4G,4G,0,5G
26,26,26,26,T78274A,T78274,330815,2134120,148.3868437543752,1,2.3059338578768487,0,4G,4G,4G,0,5G
27,27,27,27,T78274B,T78274,330815,2134120,27.741171346246084,0,0.431098233818898,0,4G,4G,4G,0,5G
28,28,28,28,T78274C,T78274,330815,2134120,51.75451965749067,0,0.8042660397434448,0,4G,4G,4G,0,5G
29,29,29,29,T77125A,T77125,336170,2124950,50.59483588291985,0,0.23745640344919441,4G,4G,4G,4G,4G,5G
30,30,30,30,T77125B,T77125,336170,2124950,42.30754358222895,0,0.1985617101526679,4G,4G,4G,4G,4G,5G
31,31,31,31,T77125C,T77125,336170,2124950,142.28870444667194,0,0.6678026209540149,4G,4G,4G,4G,4G,5G
32,32,32,32,T78280A,T78280,326663,2134352,10.49155950507086,0,0.24455849662169837,0,4G,4G,0,0,0
33,33,33,33,T78280B,T78280,326663,2134352,32.665318025757344,0,0.7614293246097283,0,4G,4G,0,0,0
34,34,34,34,T78280C,T78280,326663,2134352,32.555537228679135,0,0.7588703316708424,0,4G,4G,0,0,0
35,35,35,35,T78262A,T78262,330700,2135150,103.61677340073527,1,1.2076547016402712,0,4G,4G,4G,4G,5G
36,36,36,36,T78262B,T78262,330700,2135150,62.127535993660246,0,0.7240971561032663,0,4G,4G,4G,4G,5G
37,37,37,37,T78262C,T78262,330700,2135150,70.99403804523814,0,0.8274363408535914,0,4G,4G,4G,4G,5G
38,38,38,38,T76995A,T76995,338993,2130434,15.545919761619492,0,0.3623757520191024,0,4G,4G,0,0,0
39,39,39,39,T76995B,T76995,338993,2130434,15.498994017928736,0,0.36128191183983066,0,4G,4G,0,0,0
